1,2,3,4,5,6,7,8,9,10,11
169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.098637985152311
0.0,178.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.436552715791845
0.0,0.0,80.29243902439032,0.0,0.0,0.0,0.0,0.0,0.0,0.20647285185302444,2.7640682650730155
0.0,0.0,0.0,4.666666666666668,0.0,0.04973458969132752,0.0,0.0,0.34563950391508586,0.007332355751067665,0.08000000000000003
0.0,0.0,0.0,0.0,20.000000000000007,0.0,0.0,0.0,0.0,0.4362190926291438,0.0
0.0,0.0,0.0,0.04973458969132758,0.0,49.41333333333333,0.0,0.0,0.0,0.05935346366968712,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.999999999999997,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
0.0,0.0,0.0,0.34563950391508586,0.0,0.0,0.0,0.0,5.999999999999998,0.0,0.14041604846550362
0.0,0.0,0.20647285185302444,0.007332355751067666,0.436219092629144,0.0593534636696871,0.0,0.0,0.0,28.695483870967742,0.19504066297839995
4.098637985152304,4.436552715791849,2.7640682650730133,0.08000000000000002,0.0,0.0,0.0,0.0,0.14041604846550365,0.19504066297839992,1.6166666666666674
